Platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Websites,Topics,Examples,Developers,Organisations,Country,Language,SMS,,,Internet,,,,In Person,Radio,Visualization,User contributed Content,Open Source (Y/N),Self-Hosting (Y/N),Language (Programming),Moderation for Submissions (Y/N),"SSL (forced, optional, not available, unknown)",License,Requires Personal Identifying Information to Use,Archive,Useful Links for Research,Other Details
,,,,,,,Incoming,Outgoing,Management,Access,Social Sharing (Y/N),Social Sharing Comments,API,,,,,,,,,,,,,,
http://www.ushahidi.com,"All topics possible. Disaster, Health, Social and Recreational tc. Framed as â€œCheck-ins With a Purpose"". â€œMonitor Elections, Map Crisis Information, Curate Local Resourcesâ€ù",,Ushahidi,Ushahidi,United States,English,Y,,,,,,,,,,,Y,Y,,,,GNU LESSER GENERAL PUBLIC LICENSE,,,,
https://crowdmap.com/,"All topics possible. Disaster, Health, Social and Recreational tc. Framed as â€œCheck-ins With a Purpose"". â€œMonitor Elections, Map Crisis Information, Curate Local Resourcesâ€ù",https://crowdmap.com/map/seaofcortez,"Crowdmap, Ushahidi",Ushahidi,United States,English,Y,,,Y,Y ,"Can follow other users maps and visualize them on the same home map. Users can make posts with or without location and add them to their own maps or maps they follow. Users can call on collaborators when they configure their map (unclear what collaborators do).Posts can be shared on Facebook, Twitter, etc. and can be embedded.",Y ( comprehensive API with same functionality as front end website has access to),No,No,Decentralized. Site does not aggregate all posts to one visualization. Individuals control their  own posts and can make custom maps to share. Users can search for Maps by keywords or through hashtags. Eventually will be able to search for posts by user.,"Video, images, text with option to include location",Y,N (Hosted verion of Ushahidi),"PHP, all data accessible through mySQL DB",Y,Forced,GNU LESSER GENERAL PUBLIC LICENSE,,May request removal of personal information from system. Deleting posts as user does not remove them from Ushahidi's database.,https://wiki.ushahidi.com/pages/viewpage.action?pageId=8356271 https://wiki.ushahidi.com/display/WIKI/Crowdmap+-+Your+Maps https://crowdmap.com/privacy," Location focused, can make incomplete posts and add comment/content later. â€œUsers can drop quick notes that represent data point and enter details later. Allows users to create ad-hoc check-in communities, complete with mobile apps and web portals. Crowdmap:CI focuses on simplfying annotated location points.â€ù ""Has the ability to make notes/check-ins private. You can deploy the service within a crisis and/or particular group, so data you share doesn't necessarily have to go to others.â€ù â€œa private post not posted to any maps is only viewable by the post owner. A private post posted to a map is viewable by any owner and collaborators of that particular map.â€ù(https://wiki.ushahidi.com/display/WIKI/Crowdmap+-+Your+Posts)"
Alaveteli,Access to Information,https://fyi.org.nz/ https://www.righttoknow.org.au/,mySociety,mySociety,World,Several languages,N,N,,Y,Depends on the implementation.,,Y,N,N,Depends on the implementation.,Depends on the implementation.,Y,Y,"Ruby on Rails 3.x, postgresql as the backend database https://github.com/mysociety/alaveteli/wiki/Developers-guide. Design of site depends on implementation.",Depends on the implementation.,Not available,GNU Affero General Public License,Depends on the implementation.,Depends on the implementation.,,
Pombola,Parliament Monitoring,http://info.mzalendo.com/ http://www.odekro.org/ http://www.shineyoureye.org/ http://www.kuvakazim.com/,mySociety,mySociety,World,English,N,Depends on the implementation.,,Y,Y,,N,N,N,Decentralized. Messages can be posed on almost every page via Disqus comment section.,"Text, Image",Y (https://github.com/mysociety/pombola),Y,"Python, Django framework (https://github.com/mysociety/pombola/blob/master/docs/OVERVIEW.md)",,Depends on the implementation.,GNU Affero General Public License,Depends on the implementation.,Depends on the implementation.,,
FixMyStreet Org,"Reports problems in city streets (potholes, broken street lights)",http://www.fiksgatami.no/ http://www.fixourcity.org/ http://www.fixmystreet.com.br/,mySociety,mySociety,World,English,N,N,,Y,N,Can share reports on social networks but no interuser interaction,N,N,N,Depends on the implementation.,"Text, Photo ",Y (https://github.com/mysociety/fixmystreet),N (can implement site for new locations),Perl,Depends on the implementation.,Depends on the implementation.,GNU Affero General Public License,Depends on the implementation.,Depends on the implementation.,http://fixmystreet.org/overview/ http://fixmystreet.org/customising/fms_and_mapit/ http://fixmystreet.org/customising/send_reports/ http://fixmystreet.org/how-it-works/,
Mapumental,"Custom transit time maps, public transport accessibility maps",http://www.mysociety.org/2013/10/02/accessibility-of-welsh-schools-by-public-transport-visualised/ http://property.mapumental.com/,mySociety,mySociety,UK,English,Depends on the implementation.,,,Depends on the implementation.,Depends on the implementation.,,Y,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,Depends on the implementation.,N,N (not finding any code and the site just asks for clients),Unknown,Depends on the implementation.,Depends on the implementation.,Unknown,Depends on the implementation.,Depends on the implementation.,,
Frontline SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
